Lake,namedLocation,Date,pH,DIC,DOC,TOC,TN,NIT,AMM,TDN,TP,FRP,TDP
PRLA,PRLA.AOS.buoy.c0,2017-02-13T05:00:00Z,8.06,137.1,43.72,47.53,5.966,0.014,1.77,5.494,0.01,0.126,0.002
PRLA,PRLA.AOS.buoy.c0,2017-03-22T04:00:00Z,9.05,57.43,20.83,22.57,2.744,0.685,0.03,1.788,0.003,0.026,0.002
PRLA,PRLA.AOS.inlet,2017-04-12T04:00:00Z,8.52,88.95,28.64,34.93,4.676,0.023,0.26,2.831,0.007,0.02,0.004
PRLA,PRLA.AOS.buoy.c0,2017-04-12T04:00:00Z,8.57,90.13,30.42,33.05,4.788,0.02,0.27,2.901,0.008,0.02,0.005
PRLA,PRLA.AOS.outlet,2017-04-12T04:00:00Z,8.58,89.62,30.29,35.17,5.238,0.019,0.24,2.987,0.013,0.02,0.01
PRLA,PRLA.AOS.inlet,2017-05-03T04:00:00Z,8.87,83.21,28.9,33.2,3.471,-0.005,0.05,2.5768,0.006,0.015,0.005
PRLA,PRLA.AOS.buoy.c0,2017-05-03T04:00:00Z,8.85,82.88,29.13,32.7,3.593,0.014,0.02,2.5151,0.008,0.014,0.0065
PRLA,PRLA.AOS.outlet,2017-05-03T04:00:00Z,8.8,83.52,29.61,32.16,3.589,0,0.04,2.5496,0.035,0.015,0.006
PRLA,PRLA.AOS.inlet,2017-06-08T04:00:00Z,8.54,92.24,31.57,32.92,3.532,0.015,0.04,2.698,0.143,0.004,0.019
PRLA,PRLA.AOS.buoy.c0,2017-06-08T04:00:00Z,8.54,92.43,29.97,34.12,3.63,0.032,0.15,2.633,0.143,0.003,0.017
PRLA,PRLA.AOS.outlet,2017-06-08T04:00:00Z,8.57,92.44,31.86,34.75,3.876,0.013,0.06,2.709,0.14,0.015,0.018
PRLA,PRLA.AOS.inlet,2017-07-06T04:00:00Z,8.78,93.43,31.84,39.37,4.121,0.009,0.05,2.776,0.2155,0.047,0.0155
PRLA,PRLA.AOS.buoy.c0,2017-07-06T04:00:00Z,8.75,95.03,31.68,37.87,4.113,-0.001,0.06,2.704,0.2184,0.046,0.0045
PRLA,PRLA.AOS.buoy.c0,2017-07-06T04:00:00Z,8.77,93.11,32.11,38.82,4.227,0.002,0.04,2.728,0.2007,0.046,0.004
PRLA,PRLA.AOS.buoy.c0,2017-07-06T04:00:00Z,8.78,93.51,31.81,38.11,4.066,0.006,0.04,2.675,0.2221,0.046,0.005
PRLA,PRLA.AOS.outlet,2017-07-06T04:00:00Z,8.69,93.06,32.49,36.99,4.127,0.012,0.04,2.76,0.027,0.049,0.0234
PRLA,PRLA.AOS.inlet,2017-08-03T04:00:00Z,8.71,99.83,34.63,41.19,5.134,0.0437,0.03,3.012,0.3705,0.038,0.0055
PRLA,PRLA.AOS.buoy.c0,2017-08-03T04:00:00Z,8.62,99.14,34.62,41.48,5.127,0.0449,0.03,3.03,0.3685,0.038,0.025
PRLA,PRLA.AOS.outlet,2017-08-03T04:00:00Z,8.67,99.79,42.1,35.2,3.013,0.0429,0.02,4.983,0.3927,0.039,0.0296
PRLA,PRLA.AOS.inlet,2017-09-06T04:00:00Z,8.91,95.74,31.34,40.75,4.698,0.0181,0.01,2.653,0.476,0.023,0.0016
PRLA,PRLA.AOS.buoy.c0,2017-09-06T04:00:00Z,8.89,95.74,30.86,41.75,5.044,0.0559,0.03,2.687,0.409,0.023,8e-4
PRLA,PRLA.AOS.outlet,2017-09-06T04:00:00Z,8.93,96.06,31.65,37.72,4.4,0.0179,0.01,2.713,0.009,0.023,0.0047
PRLA,PRLA.AOS.inlet,2017-10-19T04:00:00Z,8.64,97.96,36.55,38.93,3.723,0.0146,0.11,2.812,0.073,0.02,0.005
PRLA,PRLA.AOS.buoy.c0,2017-10-19T04:00:00Z,8.64,97.66,36.02,40.9,3.983,0.0128,0.11,2.826,0.071,0.02,0.008
PRLA,PRLA.AOS.outlet,2017-10-19T04:00:00Z,8.66,97.36,37.51,39.97,3.742,0.0144,0.1,2.866,0.082,0.02,0.006
PRLA,PRLA.AOS.reach,2017-11-01T04:00:00Z,8.68,118.1,37.01,39.27,3.971,0.1126,0.11,3.144,0.005,0.069,0.003
PRLA,PRLA.AOS.buoy.c0,2017-11-01T04:00:00Z,8.67,119.5,37.3,39.05,3.944,0.0232,0.15,3.153,0.021,0.021,0.019
PRLA,PRLA.AOS.outlet,2017-11-01T04:00:00Z,8.68,106.4,38.31,39.07,3.953,0.2516,0.11,3.272,0.007,0.02,0.005
PRLA,PRLA.AOS.buoy.c0,2018-01-04T05:00:00Z,NA,148.1,45.86,NA,NA,0.0874,0.91,5.288,NA,0.086,0.027
PRLA,PRLA.AOS.buoy.c0,2018-02-13T05:00:00Z,8.14,169,58.55,66.28,6.999,0.0611,0.63,5.07,0.27,0.076,0.004
PRLA,PRLA.AOS.buoy.c0,2018-03-13T04:00:00Z,8.26,152.4,49.14,61.08,8.122,0.0215,0.14,4.268,0.019,-0.046,0.018
PRLA,PRLA.AOS.buoy.c0,2018-04-17T04:00:00Z,8.36,170.9,50.35,60.66,7.271,0.0388,0.47,4.846,0.4647,0.04,0.0138
PRLA,PRLA.AOS.buoy.c0,2018-05-01T04:00:00Z,8.27,118.5,33.8,34.83,5.174,0.012,0.41,3.777,0.3035,0.016,5e-4
PRLA,PRLA.AOS.buoy.c0,2018-06-05T04:00:00Z,8.86,98.45,34.63,39.3,4.512,0.0053,-0.01,2.966,0.0446,0.022,5e-4
PRLA,PRLA.AOS.buoy.c1,2018-06-20T04:00:00Z,8.83,95.98,35.72,42.69,4.825,0.0333,0,3.021,0.0988,0.016,0.002
PRLA,PRLA.AOS.buoy.c0,2018-07-05T04:00:00Z,7.74,97.76,34.46,42.81,5.191,0.0037,0.39,3.092,0.446,0.011,0.001
PRLA,PRLA.AOS.buoy.c0,2018-08-07T04:00:00Z,9.15,97.54,37.81,47.99,6.119,0.013,-0.01,3.148,0.2361,2.218,0.0131
PRPO,PRPO.AOS.inlet,2016-10-18T04:00:00Z,8.38,66.81,37.03,49.84,2.366,0.002,0.01,2.823,0.004,0.075,0.002
PRPO,PRPO.AOS.buoy.c0,2016-10-18T04:00:00Z,8.42,66.58,36.52,46.31,2.433,0.002,0.05,2.761,0.012,0.049,0.01
PRPO,PRPO.AOS.outlet,2016-10-18T04:00:00Z,8.4,66.87,35.97,44.14,2.438,0.002,0.03,2.76,0.008,0.234,0.007
PRPO,PRPO.AOS.inlet,2016-11-15T05:00:00Z,8.33,69.62,32.78,37.22,3.351,0.027,0.29,2.708,0.088,0.989,0.087
PRPO,PRPO.AOS.buoy.c0,2016-11-15T05:00:00Z,8.34,69.48,33.14,37.14,3.238,0.021,0.28,2.664,0.087,0.439,0.084
PRPO,PRPO.AOS.outlet,2016-11-15T05:00:00Z,8.31,70.21,32.96,37.92,3.324,0.025,0.3,2.708,0.014,0.509,0.017
PRPO,PRPO.AOS.buoy.c0,2016-12-21T05:00:00Z,8.17,87.25,38.85,44.56,4.308,0.068,0.61,3.728,0.007,0.036,0.003
PRPO,PRPO.AOS.buoy.c0,2017-01-17T05:00:00Z,7.98,99.46,44.28,48.7,5.125,0.06,1.09,4.638,0.007,0.048,0.004
PRPO,PRPO.AOS.buoy.c0,2017-02-14T05:00:00Z,7.91,102.7,39.35,45.68,5.129,0.039,1.28,4.376,0.012,0.031,0.006
PRPO,PRPO.AOS.buoy.c0,2017-03-21T04:00:00Z,7.87,96.91,36.89,38.14,4.504,0.007,1.28,4.193,0.008,0.022,0.001
PRPO,PRPO.AOS.inlet,2017-04-11T04:00:00Z,8.11,69.95,29.78,32.56,3.435,0.019,0.68,3.167,0.012,0.019,0.008
PRPO,PRPO.AOS.buoy.c0,2017-04-11T04:00:00Z,8.14,70.23,28.83,32.31,3.481,0.028,0.67,2.95,0.007,0.018,0.005
PRPO,PRPO.AOS.outlet,2017-04-11T04:00:00Z,8.1,68.86,28.81,32.68,3.395,0.035,0.59,2.785,0.015,0.02,0.013
PRPO,PRPO.AOS.inlet,2017-05-02T04:00:00Z,8.57,66.18,28.61,33.94,3.417,0.011,0.07,2.1591,0.025,0.017,0.0195
PRPO,PRPO.AOS.buoy.c0,2017-05-02T04:00:00Z,8.59,65.21,27.96,29.61,2.869,0.011,0.04,2.1878,0.038,0.017,0.0315
PRPO,PRPO.AOS.outlet,2017-05-02T04:00:00Z,8.59,65.7,28.45,33.17,3.322,-0.015,0.03,2.1975,0.016,0.014,0.0145
PRPO,PRPO.AOS.inlet,2017-06-06T04:00:00Z,8.39,65.27,33.69,35.77,2.972,0.016,0.06,2.427,0.109,0.002,0.008
PRPO,PRPO.AOS.buoy.c0,2017-06-06T04:00:00Z,8.37,64.1,33.11,37.23,3.261,0.014,0.09,2.514,0.094,0.006,0.005
PRPO,PRPO.AOS.outlet,2017-06-06T04:00:00Z,8.4,64.16,33.23,34.64,3.339,0.016,0.09,2.473,0.046,0.001,0.012
PRPO,PRPO.AOS.inlet,2017-07-05T04:00:00Z,8.61,65.69,31.08,33.83,2.787,0.008,0.03,2.387,0.015,0.024,0.01
PRPO,PRPO.AOS.buoy.c0,2017-07-05T04:00:00Z,8.59,65.99,30.39,33.66,2.748,-0.002,0.1,2.365,0.015,0.023,0.0124
PRPO,PRPO.AOS.buoy.c0,2017-07-05T04:00:00Z,8.6,66.26,30.62,33.83,2.754,0,0.11,2.392,0.014,0.023,5e-4
PRPO,PRPO.AOS.buoy.c0,2017-07-05T04:00:00Z,8.6,66.4,30.68,33.53,2.741,0.008,0.08,2.38,0.013,0.023,6e-4
PRPO,PRPO.AOS.outlet,2017-07-05T04:00:00Z,8.6,68.19,30.13,35.17,2.786,0.009,0.05,2.336,0.004,0.023,5e-4
PRPO,PRPO.AOS.inlet,2017-08-02T04:00:00Z,8.45,72.43,36.61,41.04,3.461,0.0463,0.06,2.847,0.1809,0.028,0.002
PRPO,PRPO.AOS.buoy.c0,2017-08-02T04:00:00Z,8.49,73.08,36.85,39.38,3.285,0.0472,0.13,2.92,0.1797,0.037,0.0204
PRPO,PRPO.AOS.outlet,2017-08-02T04:00:00Z,8.45,72.65,36.45,36.8,3.026,0.0444,0.14,2.871,0.1642,0.028,0.008
PRPO,PRPO.AOS.inlet,2017-09-05T04:00:00Z,8.6,64.22,36.02,36.86,3.35,0.0243,0.02,2.982,0.3361,0.023,0.0016
PRPO,PRPO.AOS.buoy.c0,2017-09-05T04:00:00Z,8.59,64.52,38.51,40.91,3.284,0.0246,0.01,2.764,0.221,0.024,0.0032
PRPO,PRPO.AOS.outlet,2017-09-05T04:00:00Z,8.58,64.08,31.57,37.33,3.03,0.0259,0.03,2.786,0.261,0.024,0.0162
PRPO,PRPO.AOS.inlet,2017-10-17T04:00:00Z,8.29,68.05,37.96,38.4,3.006,0.0343,0.12,2.759,0.026,0.009,0.006
PRPO,PRPO.AOS.buoy.c0,2017-10-17T04:00:00Z,8.35,68.23,36.79,39.61,3.04,0.0305,0.11,2.74,0.023,0.007,0.006
PRPO,PRPO.AOS.outlet,2017-10-17T04:00:00Z,8.36,67.92,36.8,39,3.015,0.0119,0.12,2.85,0.029,0.033,0.006
PRPO,PRPO.AOS.inlet,2017-10-31T04:00:00Z,8.36,75.43,38.75,45.47,3.386,0.1997,0.11,2.87,0.053,0.023,0.01
PRPO,PRPO.AOS.buoy.c0,2017-10-31T04:00:00Z,8.36,75.63,38.16,45.14,4.078,0.0222,0.18,2.829,0.054,0.041,0.01
PRPO,PRPO.AOS.outlet,2017-10-31T04:00:00Z,8.4,75.43,38.36,41.82,3.144,0.0307,0.12,2.851,0.057,0.015,0.012
PRPO,PRPO.AOS.buoy.c0,2018-01-02T05:00:00Z,7.99,NA,NA,49.14,4.666,NA,NA,NA,0.024,NA,NA
PRPO,PRPO.AOS.buoy.c0,2018-02-13T05:00:00Z,8.04,127.7,62.32,68.72,5.415,0.0932,0.28,4.361,0.063,0.077,0.006
PRPO,PRPO.AOS.buoy.c0,2018-03-13T04:00:00Z,7.77,134.4,47.08,66.12,5.684,0.0762,0.09,3.511,0.009,3.507,0.007
PRPO,PRPO.AOS.buoy.c0,2018-04-17T04:00:00Z,7.73,138.4,49.86,59.21,5.225,0.0288,0.47,4.25,0.08,0.03,0.0065
PRPO,PRPO.AOS.buoy.c0,2018-05-01T04:00:00Z,8.16,77.57,30.89,32.96,3.237,0.0267,0.33,2.804,0.1488,0.022,5e-4
PRPO,PRPO.AOS.buoy.c0,2018-06-05T04:00:00Z,8.52,75.34,32.09,35.2,2.877,-5e-4,0.01,2.625,0.0475,0.019,5e-4
PRPO,PRPO.AOS.buoy.c0,2018-06-20T04:00:00Z,8.59,83.93,36.1,36.54,2.825,0.0045,0.02,2.742,0.0809,0.034,0.0184
TOOK,TOOK.AOS.buoy.c0,2016-11-07T05:00:00Z,7.68,12.16,5.465,5.23,0.1938,0.038,0.11,0.2165,0.015,0.332,0.014
TOOK,TOOK.AOS.buoy.c0,2016-12-06T05:00:00Z,7.78,11.99,5.445,5.34,0.2214,0.017,0.06,0.2869,0.002,0.367,0.001
TOOK,TOOK.AOS.buoy.c0,2017-01-10T05:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOOK,TOOK.AOS.buoy.c0,2017-02-07T05:00:00Z,7.65,13.7,5.443,5.33,0.3082,0.027,-0.03,0.2379,0.004,0.031,5e-4
TOOK,TOOK.AOS.buoy.c0,2017-03-07T05:00:00Z,7.43,13.26,43.46,43.76,0.2812,0.044,0.12,0.2601,0.003,0.021,0.002
TOOK,TOOK.AOS.buoy.c0,2017-04-03T04:00:00Z,7.63,12.86,5.309,4.87,0.2529,-0.007,-0.01,0.3074,0.002,0.022,0.001
TOOK,TOOK.AOS.buoy.c0,2017-04-29T04:00:00Z,7.58,13.58,6.174,NA,NA,0.057,0.05,0.3231,0.032,0.019,0.0265
TOOK,TOOK.AOS.inlet,2017-06-06T04:00:00Z,7.12,5.958,4.427,3.75,0.2045,0.029,0.02,0.2094,0.007,0.005,0.006
TOOK,TOOK.AOS.buoy.c1,2017-06-27T04:00:00Z,7.9,10.34,4.265,4.28,0.1768,0.005,0.06,0.1728,0.012,0.042,0.0092
TOOK,TOOK.AOS.buoy.c2,2017-06-27T04:00:00Z,7.55,10.58,4.397,4.26,0.2192,0.012,0.06,0.1634,0.01,0.042,0.0069
TOOK,TOOK.AOS.outlet,2017-06-27T04:00:00Z,7.74,10.25,4.209,4.82,0.2352,0.013,0.07,0.181,0.024,0.043,5e-4
TOOK,TOOK.AOS.inlet,2017-06-28T04:00:00Z,7.66,10.8,2.782,2.78,0.2629,0.094,0.07,0.2001,0.0196,0.043,0.0092
TOOK,TOOK.AOS.inlet,2017-07-04T04:00:00Z,8.1,11.56,2.985,2.67,0.2673,0.125,0.08,0.2429,0.002,0.045,6e-4
TOOK,TOOK.AOS.buoy.c1,2017-07-05T04:00:00Z,8.07,10.27,4.207,NA,NA,0.016,0.09,0.1565,0.0056,0.044,5e-4
TOOK,TOOK.AOS.buoy.c2,2017-07-05T04:00:00Z,7.65,9.947,4.178,4.01,0.2522,0.032,0.08,0.2097,0.011,0.044,0.0077
TOOK,TOOK.AOS.outlet,2017-07-05T04:00:00Z,7.91,9.903,4.29,4.43,0.2055,-0.001,0.07,0.1719,0.012,0.042,0.0092
TOOK,TOOK.AOS.buoy.c1,2017-08-01T04:00:00Z,7.98,10.15,4.407,4.29,0.2037,0.0535,0.09,0.179,0.018,0.035,0.0158
TOOK,TOOK.AOS.buoy.c2,2017-08-01T04:00:00Z,8.08,10.23,4.093,4.08,0.2048,0.0475,0.03,0.1608,0.014,0.036,0.0124
TOOK,TOOK.AOS.outlet,2017-08-01T04:00:00Z,8.02,10.09,4.124,4.16,0.2469,0.0458,0.09,0.2375,0.003,0.036,5e-4
TOOK,TOOK.AOS.inlet,2017-08-01T04:00:00Z,8.07,9.432,5.328,5.26,0.2719,0.0576,0.06,0.2491,0.018,0.035,0.0158
TOOK,TOOK.AOS.buoy.c0,2017-09-06T04:00:00Z,7.92,11.23,4.209,4.36,0.124,0.0213,0.03,0.1185,0.008,0.022,0.0024
TOOK,TOOK.AOS.outlet,2017-09-06T04:00:00Z,7.93,10.96,4.246,4.18,0.1251,0.0464,0,0.1008,0.004,0.024,0.0016
TOOK,TOOK.AOS.inlet,2017-09-06T04:00:00Z,7.76,10.82,5.161,5.08,0.1284,0.0387,0.01,0.1481,0.005,0.023,0.0032
TOOK,TOOK.AOS.buoy.c0,2017-11-07T05:00:00Z,7.71,13.3,5.333,4.85,0.1478,0.6092,0.12,0.1407,0.005,0.015,0.004
TOOK,TOOK.AOS.buoy.c0,2017-12-05T05:00:00Z,7.96,13.13,4.556,4.58,-0.0496,0.0104,0.12,-0.0888,0.01,0.008,0.001
TOOK,TOOK.AOS.buoy.c0,2018-01-09T05:00:00Z,NA,13.99,4.692,NA,NA,0.0394,0.12,0.2029,NA,0.035,0.009
TOOK,TOOK.AOS.buoy.c0,2018-02-13T05:00:00Z,7.53,14.35,8.845,11.89,0.1317,0.0297,0.1,0.1498,0.003,0.089,0.002
TOOK,TOOK.AOS.buoy.c0,2018-03-06T05:00:00Z,7.18,14.32,5.52,5.28,0.2472,0.0335,-0.01,0.2293,0.009,0.004,0.007
TOOK,TOOK.AOS.buoy.c0,2018-03-06T05:00:00Z,7.25,14.36,5.048,5.07,0.2517,0.0405,0,0.2116,0.008,0.005,0.007
TOOK,TOOK.AOS.buoy.c0,2018-03-06T05:00:00Z,7.34,14.33,4.697,5.39,0.2408,0.0371,0.01,0.2218,0.009,0.004,0.008
TOOK,TOOK.AOS.buoy.c0,2018-04-03T04:00:00Z,7.36,14.35,4.958,4.92,0.3035,0.0776,0,0.3235,0.2137,0.079,0.004
TOOK,TOOK.AOS.buoy.c0,2018-05-01T04:00:00Z,7.38,14.21,5.084,4.86,0.472,0.0433,0.03,0.4381,0.1313,0.031,0.1275
TOOK,TOOK.AOS.buoy.c0,2018-06-05T04:00:00Z,6.7,1.098,0.9053,0.77,0.0706,0.0059,0.01,0.0683,0.0082,0.009,5e-4
TOOK,TOOK.AOS.outlet,2018-06-05T04:00:00Z,7.05,5.447,4.42,4.57,0.1937,0.0337,0.03,0.1412,0.024,0.013,5e-4
TOOK,TOOK.AOS.inlet,2018-06-05T04:00:00Z,7.57,4.86,4.798,5.17,0.267,0.0183,0,0.1496,0.0663,0.011,5e-4
TOOK,TOOK.AOS.buoy.c1,2018-07-03T04:00:00Z,7.59,9.888,4.361,2.19,0.5403,0.0046,-0.01,0.2806,0.068,0.01,5e-4
TOOK,TOOK.AOS.buoy.c2,2018-07-03T04:00:00Z,7.55,11.12,4.106,4.12,0.2732,0.0343,0.01,0.2809,0.089,0.01,5e-4
TOOK,TOOK.AOS.inlet,2018-07-03T04:00:00Z,7.46,9.186,4.061,4.13,0.2553,0.0135,-0.02,0.2412,0.07,0.011,5e-4
TOOK,TOOK.AOS.inlet,2018-08-07T04:00:00Z,7.65,10.07,5.685,5.59,0.2195,0.0254,0.03,0.2217,0.017,0.011,5e-4
TOOK,TOOK.AOS.outlet,2018-08-07T04:00:00Z,7.74,10.39,4.514,4.52,0.1577,0.0118,0.02,0.1513,0.005,0.011,0.0022
TOOK,TOOK.AOS.buoy.c1,2018-08-07T04:00:00Z,7.76,10.39,4.697,4.58,0.1844,0.0113,0.02,0.1703,0.008,0.011,0.0051
TOOK,TOOK.AOS.buoy.c2,2018-08-07T04:00:00Z,7.46,10.26,4.426,4.22,0.1926,0.0441,0.05,0.1857,0.006,1.117,0.0044
